"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Abrus precatorius","shrub","broadleaved","deciduous","C3",NA,4,4,"DSH","Abrus precatorius","Accepted",FALSE,"L.","Abrus","species","Fabaceae","wfo-0000178702","https://www.legumedata.org/taxonomy/taxon/2610328","The Fabaceae TEN - Legume Taxonomy Working Group"
"Abutilon angulatum","herb/shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Abutilon angulatum","Accepted",FALSE,"(Guill. & Perr.) Mast.","Abutilon","species","Malvaceae","wfo-0000511722",NA,"The Malvaceae TEN"
"Acacia auriculiformis","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Acacia auriculiformis","Accepted",FALSE,"A.Cunn. ex Benth.","Acacia","species","Fabaceae","wfo-0000173754","https://www.legumedata.org/taxonomy/taxon/2611367","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia cyclops","shrub/tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Acacia cyclops","Accepted",FALSE,"A.Cunn. ex G.Don","Acacia","species","Fabaceae","wfo-0000192127","https://www.legumedata.org/taxonomy/taxon/2611847","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia dealbata","shrub/tree","broadleaved","evergreen","C3","temperate",4,5,"BET-Te","Acacia dealbata","Accepted",FALSE,"Link","Acacia","species","Fabaceae","wfo-0000192338","https://www.legumedata.org/taxonomy/taxon/2611879","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia longifolia","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Acacia longifolia","Accepted",FALSE,"(Andrews) Willd.","Acacia","species","Fabaceae","wfo-0000210768","https://www.legumedata.org/taxonomy/taxon/2612825","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia saligna","shrub/tree","broadleaved","evergreen","C3","temperate",4,5,"BET-Te","Acacia saligna","Accepted",FALSE,"(Labill.) H.L.Wendl.","Acacia","species","Fabaceae","wfo-0001054072","https://www.legumedata.org/taxonomy/taxon/2613720","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acalypha bipartita","shrub","broadleaved","evergreen","C3",NA,3,4,"ESH","Acalypha bipartita","Accepted",FALSE,"M<fc>ll.Arg.","Acalypha","species","Euphorbiaceae","wfo-0000395839","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337200-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acalypha fruticosa","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Acalypha fruticosa","Accepted",FALSE,"Forssk.","Acalypha","species","Euphorbiaceae","wfo-0000938659","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337407-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acalypha glabrata","shrub/tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Acalypha glabrata","Accepted",FALSE,"Thunb.","Acalypha","species","Euphorbiaceae","wfo-0000941130","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337420-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acanthosicyos horridus","shrub","without leaves","evergreen",NA,NA,2,3,"ESH","Acanthosicyos horridus","Accepted",FALSE,"Welw. ex Benth. & Hook.f.","Acanthosicyos","species","Cucurbitaceae","wfo-0000513768",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Achyranthes aspera","herb/shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Achyranthes aspera","Accepted",FALSE,"L.","Achyranthes","species","Amaranthaceae","wfo-0000516177",NA,"The Caryophyllales TEN -The Caryophyllales Network"
"Adansonia digitata","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Adansonia digitata","Accepted",FALSE,"L.","Adansonia","species","Malvaceae","wfo-0000519672",NA,"The Malvaceae TEN"
"Adenia cissampeloides","shrub","broadleaved","evergreen",NA,NA,0,3,"ESH","Adenia cissampeloides","Accepted",FALSE,"(Planch. ex Benth.) Harms","Adenia","species","Passifloraceae","wfo-0000519947",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia kigogoensis","tree","broadleaved","evergreen",NA,"tropical",0,4,"BET-Tr","Adenia kigogoensis","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508292",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia litoralis","tree","broadleaved","evergreen",NA,"tropical",0,4,"BET-Tr","Adenia litoralis","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508293",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia lobata","shrub","broadleaved","deciduous",NA,NA,0,3,"DSH","Adenia lobata","Accepted",FALSE,"(Jacq.) Engl.","Adenia","species","Passifloraceae","wfo-0000520018",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia mcdadeana","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Adenia mcdadiana","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508294",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
